,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
53610,"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",SusanEganCherylFreemanLaChanzeVaneeseThomasLilliasWhite,0.208,0.14,0.0,0.471,0.684,0.453
65117,Lady (You Bring Me Up),Commodores,0.2,0.0996,0.000339,0.593,0.892,0.867
66503,Ella Fue (She Was The One),FaniaAllStars,0.38,0.0442,0.0258,0.648,0.824,0.971
9103,Sağı Solu Kes,Gazapizm,0.0592,0.126,0.000608,0.438,0.937,0.457
65407,Misunderstanding,Genesis,0.234,0.2,0.0,0.828,0.645,0.774
21376,Gayé,FouKi,0.0656,0.0734,1.81e-06,0.369,0.966,0.849
47467,I'd Rather,LutherVandross,0.236,0.113,0.0,0.467,0.705,0.522
21180,Fever,OscarandtheWolf,0.025,0.106,0.000114,0.668,0.667,0.475
7374,Friendly Fire - Prod. Avepack,BoulevardDepo,0.326,0.14,2.44e-06,0.508,0.787,0.338
19978,Bass,RIN,0.116,0.454,0.0,0.48,0.926,0.572
0,Ghost,Justin Bieber,0.185,0.415,2.91e-05,0.741,0.601,0.441
